longitude,latitude,housing_median_age,total_rooms,population,households,median_income
-122.11,37.7,19.0,2693.0,1765.0,724.0,2.4206
-119.68,36.32,28.0,1325.0,873.0,240.0,2.5833
-122.03,37.94,21.0,5541.0,2214.0,737.0,5.5777
-122.19,37.77,42.0,932.0,900.0,263.0,1.8039
-119.87,36.76,34.0,1649.0,919.0,316.0,2.875
-118.98,35.38,24.0,1807.0,1460.0,410.0,1.4786
-118.51,34.19,35.0,2537.0,1161.0,421.0,5.3028
-121.36,39.52,15.0,2490.0,1229.0,497.0,2.3917
-119.95,38.95,21.0,2046.0,952.0,353.0,1.7245
-119.02,35.38,48.0,346.0,129.0,63.0,1.1875
-118.21,34.12,35.0,1937.0,1523.0,412.0,3.5638
-119.85,36.8,14.0,4177.0,2300.0,867.0,2.9565
-118.53,34.27,33.0,1927.0,896.0,293.0,5.634
-119.98,38.92,27.0,2682.0,1010.0,399.0,3.15
-118.01,35.12,15.0,1926.0,917.0,316.0,3.3889
-121.96,37.71,6.0,8072.0,3386.0,1062.0,7.2494
-122.28,37.86,52.0,1659.0,788.0,346.0,2.8214
-119.07,35.34,16.0,4201.0,1667.0,724.0,4.8839
-119.8,36.73,45.0,925.0,797.0,228.0,1.7011
-118.38,34.19,30.0,977.0,736.0,258.0,1.9866
-118.99,35.32,26.0,875.0,567.0,204.0,0.9288
-118.46,34.28,23.0,1663.0,1242.0,283.0,5.5931
-117.82,35.03,30.0,2555.0,1347.0,467.0,3.3693
-119.02,35.36,48.0,1833.0,947.0,363.0,2.2827
-119.66,36.33,16.0,2048.0,1052.0,388.0,4.0909
-122.06,37.6,18.0,1726.0,1186.0,310.0,5.3226
-118.34,34.08,52.0,1430.0,547.0,178.0,10.3661
-121.56,39.52,26.0,1957.0,945.0,397.0,1.7308
-118.44,34.16,33.0,1616.0,580.0,311.0,4.0391
-122.06,37.91,15.0,5393.0,2133.0,1288.0,4.1612
-121.98,37.97,26.0,2714.0,1232.0,409.0,5.9617
-120.97,38.65,9.0,3707.0,1601.0,555.0,4.0714
-118.26,34.02,38.0,980.0,1308.0,310.0,1.5652
-120.85,38.69,18.0,5928.0,2697.0,1096.0,3.4872
-121.99,37.97,28.0,2839.0,1372.0,443.0,6.2135
-119.0,35.37,41.0,303.0,216.0,80.0,2.2212
-122.08,37.82,4.0,2045.0,830.0,252.0,11.3421
-121.96,37.94,26.0,3084.0,1557.0,501.0,5.1582
-122.28,37.8,52.0,96.0,191.0,34.0,0.75
-119.64,36.34,32.0,2958.0,1504.0,627.0,1.8606
-122.27,37.97,10.0,15259.0,7266.0,2338.0,6.0666
-122.31,37.92,12.0,1895.0,983.0,519.0,2.5
-121.0,38.58,12.0,3425.0,1357.0,451.0,5.3344
-115.57,32.8,16.0,1307.0,961.0,327.0,1.1853
-121.96,37.74,2.0,200.0,25.0,9.0,15.0001
-122.19,37.79,28.0,3144.0,1737.0,669.0,2.9297
-119.57,36.44,30.0,1860.0,1123.0,347.0,3.4926
-118.3,34.02,31.0,1933.0,1522.0,423.0,1.5781
-121.96,37.53,28.0,2949.0,1538.0,545.0,4.9615
-118.62,34.22,33.0,1636.0,866.0,289.0,5.6356
-124.14,40.59,17.0,2985.0,1544.0,584.0,2.178
-121.91,37.68,20.0,1804.0,831.0,260.0,6.1770000000000005
-121.82,38.01,50.0,1120.0,625.0,239.0,1.5988
-117.69,35.65,5.0,1131.0,520.0,232.0,4.0167
-121.86,37.66,22.0,3634.0,1699.0,640.0,4.1597
-121.88,37.99,16.0,3787.0,1606.0,507.0,5.5676
-119.01,35.24,6.0,80.0,66.0,21.0,3.125
-122.6,38.93,16.0,1657.0,572.0,301.0,1.4767
-118.51,34.29,29.0,1287.0,525.0,187.0,6.4171
-121.69,37.95,15.0,1850.0,1348.0,403.0,3.8125
-118.28,34.0,42.0,1534.0,1295.0,380.0,2.0938
-119.82,36.78,36.0,1370.0,812.0,282.0,2.6127
-118.3,34.0,52.0,1296.0,853.0,238.0,3.05
-124.17,40.79,43.0,2285.0,1169.0,482.0,1.9688
-118.5,34.25,32.0,2411.0,1040.0,344.0,6.155
-119.53,36.55,34.0,2065.0,1041.0,313.0,3.2917
-121.59,39.77,24.0,1535.0,664.0,273.0,2.3068
-118.66,35.2,7.0,9664.0,3617.0,1370.0,4.0581
-119.56,36.71,37.0,1609.0,1173.0,344.0,2.181
-122.27,37.88,52.0,2803.0,1372.0,876.0,2.1907
-122.16,37.71,36.0,666.0,366.0,134.0,3.4643
-119.31,36.62,25.0,831.0,947.0,244.0,1.4481
-122.28,37.87,49.0,2026.0,963.0,521.0,1.9805
-119.79,36.77,30.0,1610.0,1000.0,397.0,2.0357
-122.18,37.74,46.0,2103.0,1339.0,354.0,2.2467
-122.06,37.58,15.0,8112.0,4576.0,1348.0,5.6758
-122.31,37.92,43.0,2116.0,900.0,361.0,4.1587
-118.62,34.2,23.0,3098.0,1486.0,492.0,5.7613
-124.16,40.8,52.0,2416.0,1150.0,571.0,1.7308
-122.29,37.89,52.0,1571.0,693.0,326.0,3.1375
-120.54,38.75,9.0,3006.0,1102.0,418.0,3.9812
-122.03,37.97,45.0,1613.0,865.0,336.0,3.25
-122.3,37.88,52.0,409.0,208.0,98.0,1.6971
-118.33,34.09,36.0,654.0,416.0,138.0,3.6953
-119.8,36.02,20.0,156.0,171.0,37.0,3.05
-122.25,37.85,52.0,919.0,413.0,193.0,4.0368
-118.27,34.92,20.0,873.0,422.0,159.0,2.9583
-118.43,34.2,29.0,3051.0,1942.0,679.0,3.1118
-118.3,34.02,49.0,2120.0,1522.0,416.0,1.85
-118.25,34.09,52.0,2050.0,957.0,418.0,3.5603
-122.25,37.82,28.0,3337.0,1520.0,802.0,3.9063
-120.76,38.47,17.0,1521.0,607.0,240.0,3.5
-118.48,34.27,34.0,1231.0,702.0,222.0,4.9323
-122.16,37.75,46.0,954.0,429.0,154.0,2.925
-118.95,34.83,18.0,3278.0,1338.0,550.0,2.9891
-122.02,37.6,32.0,1295.0,1097.0,328.0,3.2386
-124.15,40.76,24.0,2858.0,1388.0,512.0,3.375
-122.08,37.87,24.0,6130.0,1750.0,1286.0,2.9167
-121.82,38.02,46.0,176.0,101.0,40.0,2.2361
-118.37,34.21,36.0,2080.0,1939.0,484.0,4.2875
-122.28,37.87,52.0,589.0,288.0,131.0,3.5156
-119.77,36.78,40.0,1411.0,609.0,296.0,1.9375
-118.28,34.01,52.0,795.0,1118.0,275.0,1.2175
-124.14,40.57,29.0,2864.0,1314.0,562.0,2.1354
-118.25,34.05,52.0,2806.0,2232.0,1605.0,0.6775
-118.46,34.16,26.0,2548.0,1098.0,540.0,4.3839
-122.14,37.73,43.0,2264.0,931.0,368.0,3.8125
-122.24,37.72,5.0,18634.0,7427.0,2718.0,7.6110000000000015
-122.27,37.87,30.0,1465.0,862.0,425.0,1.7778
-121.65,39.32,40.0,812.0,374.0,142.0,2.7891
-121.84,39.75,29.0,4362.0,2053.0,1000.0,1.7284
-119.33,35.6,32.0,2703.0,2682.0,675.0,1.4619
-119.84,36.77,6.0,1853.0,1397.0,417.0,1.4817
-119.57,36.71,10.0,1657.0,958.0,380.0,2.6458
-120.1,36.16,17.0,598.0,715.0,146.0,2.3295
-118.25,33.99,42.0,2261.0,2496.0,527.0,1.5556
-119.02,35.32,14.0,2927.0,1821.0,561.0,3.3529
-120.1,36.66,19.0,2020.0,1341.0,360.0,1.7
-118.2,34.12,41.0,1908.0,1557.0,453.0,2.9194
-122.83,38.98,17.0,1383.0,719.0,296.0,1.6164
-122.25,37.85,52.0,1274.0,558.0,219.0,5.6431
-119.64,36.82,14.0,4872.0,2085.0,617.0,5.6739
-118.34,34.09,52.0,1731.0,849.0,466.0,3.2946
-121.89,37.69,4.0,6159.0,2649.0,1241.0,3.62
-122.19,37.76,49.0,1368.0,790.0,269.0,1.7056
-122.26,37.85,52.0,2202.0,910.0,402.0,3.2031
-122.26,37.85,52.0,2643.0,1212.0,620.0,1.9167
-119.77,36.74,51.0,1454.0,729.0,252.0,3.3125
-115.37,32.81,32.0,741.0,623.0,169.0,1.7604
-119.73,36.59,31.0,1551.0,1058.0,287.0,3.3438
-122.25,37.85,52.0,1627.0,565.0,259.0,3.8462
-122.14,37.69,37.0,2141.0,1093.0,555.0,2.9958
-119.55,36.51,46.0,1889.0,971.0,403.0,2.2132
-118.28,34.03,45.0,943.0,953.0,238.0,2.0673
-119.93,38.94,27.0,1709.0,97.0,44.0,2.4917
-118.53,34.26,18.0,3674.0,1590.0,550.0,8.176
-122.17,37.74,47.0,463.0,327.0,137.0,2.15
-118.96,35.37,32.0,1025.0,874.0,236.0,1.9612
-121.81,38.01,52.0,1124.0,528.0,226.0,2.2639
-122.17,37.77,30.0,3326.0,1704.0,703.0,2.875
-118.19,34.05,46.0,1051.0,1435.0,305.0,1.6667
-122.29,37.86,50.0,2485.0,1354.0,563.0,1.9483
-118.51,34.19,38.0,2182.0,1141.0,379.0,4.2865
-115.56,32.78,29.0,1568.0,848.0,245.0,3.1597
-119.63,36.76,22.0,4126.0,1795.0,613.0,4.925
-118.29,34.05,40.0,907.0,1426.0,323.0,1.8571
-119.67,36.35,10.0,1090.0,470.0,158.0,4.9432
-119.03,35.42,45.0,1628.0,754.0,334.0,2.5703
-118.42,34.21,29.0,2893.0,1636.0,540.0,5.1586
-121.94,37.73,22.0,1980.0,861.0,290.0,6.2726
-118.32,34.08,46.0,2038.0,1250.0,525.0,2.4196
-119.99,36.8,45.0,1270.0,598.0,214.0,3.2813
-118.98,35.37,36.0,1562.0,1223.0,329.0,0.9675
-117.66,35.62,11.0,5897.0,2728.0,1072.0,4.15
-118.26,34.12,52.0,2290.0,1278.0,485.0,3.8393
-118.98,35.4,34.0,813.0,440.0,170.0,2.8393
-122.88,39.14,20.0,1125.0,521.0,196.0,2.2188
-118.34,34.06,52.0,2089.0,883.0,281.0,7.4574
-118.52,34.28,33.0,1975.0,801.0,287.0,7.8193
-119.08,35.32,8.0,11609.0,5696.0,2100.0,5.0012
-118.3,34.02,42.0,2386.0,2327.0,661.0,1.6699
-118.61,34.23,26.0,3727.0,1724.0,530.0,6.1419
-122.16,37.77,47.0,1256.0,570.0,218.0,4.375
-118.41,34.18,35.0,2785.0,1631.0,614.0,3.9038
-122.12,37.68,45.0,2179.0,1159.0,399.0,3.4839
-124.17,40.8,52.0,1557.0,758.0,319.0,1.8529
-118.3,34.01,52.0,1444.0,1154.0,334.0,2.0625
-119.12,35.38,18.0,1521.0,706.0,279.0,4.4196
-118.21,34.07,31.0,1453.0,1486.0,389.0,2.3859
-122.13,37.89,27.0,744.0,295.0,169.0,2.7411
-121.99,37.53,25.0,5405.0,2831.0,923.0,5.0423
-118.31,34.04,29.0,2038.0,2070.0,570.0,2.0658
-122.22,37.78,44.0,1678.0,1700.0,495.0,2.0801
-118.29,34.06,42.0,3894.0,6846.0,2156.0,1.5553
-122.05,37.68,32.0,2015.0,1019.0,340.0,6.1104
-122.27,37.78,13.0,2020.0,959.0,486.0,5.2601
-122.23,37.83,52.0,2990.0,947.0,361.0,7.8772
-122.3,37.81,48.0,1455.0,788.0,332.0,0.8056
-122.24,37.79,39.0,1469.0,1464.0,389.0,2.1638
-122.41,37.94,52.0,154.0,89.0,38.0,3.2875
-122.21,37.79,35.0,1745.0,1143.0,386.0,2.875
-122.07,37.96,37.0,1217.0,552.0,194.0,5.0445
-122.0,38.99,39.0,1548.0,815.0,286.0,2.9489
-122.3,37.9,41.0,2053.0,873.0,415.0,3.4091
-122.22,37.78,44.0,2968.0,2269.0,610.0,2.3906
-122.03,37.61,33.0,1518.0,831.0,268.0,5.097
-118.29,34.25,19.0,1988.0,1399.0,527.0,2.4727
-118.47,35.64,17.0,2248.0,927.0,427.0,1.3023
-121.6,37.91,13.0,2479.0,1075.0,350.0,5.1017
-122.01,39.74,20.0,2332.0,1856.0,495.0,2.1746
-118.25,34.09,43.0,1903.0,1919.0,613.0,2.6336
-119.71,36.81,19.0,1648.0,557.0,354.0,1.7969
-121.62,39.77,23.0,1759.0,788.0,359.0,1.8125
-122.08,37.7,32.0,2718.0,1156.0,410.0,5.2497
-121.82,38.01,42.0,1017.0,798.0,266.0,2.1719
-122.07,37.66,21.0,5031.0,2461.0,1042.0,3.875
-122.15,37.71,18.0,5778.0,2441.0,1352.0,3.1682
-122.01,37.94,18.0,2077.0,937.0,292.0,6.3809
-122.26,37.85,50.0,1120.0,697.0,264.0,2.125
-118.32,34.04,39.0,1294.0,1140.0,313.0,2.2554
-118.38,34.08,25.0,4625.0,1739.0,1191.0,3.3989
-119.57,36.7,7.0,1761.0,974.0,308.0,3.7261
-120.98,38.67,13.0,3432.0,1286.0,470.0,5.584
-122.01,37.56,24.0,2563.0,1174.0,501.0,3.8179
-115.91,33.36,15.0,459.0,160.0,73.0,0.922
-118.25,34.02,33.0,1676.0,2564.0,515.0,2.1957
-118.25,34.0,34.0,1905.0,2194.0,521.0,1.4792
-119.77,36.8,32.0,3461.0,1507.0,649.0,2.9244
-122.21,37.8,38.0,2254.0,951.0,487.0,3.0812
-122.3,37.9,38.0,2263.0,1027.0,509.0,3.5125
-118.34,34.07,52.0,3175.0,1594.0,997.0,3.1766
-118.27,34.05,26.0,1164.0,1685.0,541.0,1.5727
-118.3,34.25,36.0,1300.0,688.0,261.0,3.1523
-119.02,35.37,44.0,2687.0,1521.0,549.0,1.7213
-118.28,34.04,24.0,1283.0,1932.0,516.0,1.2969
-118.54,34.17,34.0,2458.0,1034.0,373.0,5.6738
-119.81,36.83,19.0,6789.0,2325.0,1109.0,4.049
-118.3,37.17,22.0,3480.0,1541.0,636.0,2.75
-119.96,38.94,27.0,1492.0,717.0,254.0,1.8906
-122.05,37.95,22.0,5175.0,2804.0,1091.0,2.85
-118.21,34.03,52.0,497.0,547.0,121.0,2.2083
-118.56,34.18,39.0,1819.0,770.0,278.0,5.4088
-121.65,39.53,23.0,1387.0,640.0,289.0,1.4833
-118.57,34.25,34.0,5098.0,2239.0,778.0,5.6149
-122.12,37.71,38.0,1164.0,632.0,289.0,3.0345
-122.2,37.76,37.0,2680.0,1925.0,667.0,1.4097
-122.3,37.97,35.0,1811.0,911.0,340.0,3.375
-118.29,34.09,39.0,336.0,586.0,151.0,1.8056
-122.55,38.81,7.0,3639.0,1027.0,421.0,3.8831
-118.3,34.05,51.0,1005.0,1227.0,306.0,2.4297
-119.02,35.41,41.0,2221.0,1106.0,473.0,1.97
-121.94,37.83,11.0,2836.0,959.0,335.0,10.5815
-119.79,36.81,33.0,1461.0,494.0,254.0,4.25
-118.35,34.04,45.0,1839.0,1312.0,460.0,2.5625
-121.79,37.67,26.0,2163.0,947.0,346.0,6.0797
-122.01,37.98,29.0,2001.0,956.0,370.0,4.317
-122.24,37.8,47.0,2046.0,1213.0,554.0,2.6292
-122.27,37.82,21.0,896.0,735.0,438.0,0.9218
-121.92,37.68,23.0,1655.0,706.0,219.0,7.2211
-122.3,37.81,48.0,828.0,392.0,133.0,2.5938
-119.75,36.83,15.0,2793.0,1411.0,441.0,4.9292
-118.28,34.05,31.0,1525.0,2510.0,652.0,1.6355
-118.3,34.26,37.0,2824.0,1619.0,573.0,3.5568
-118.31,34.02,52.0,1173.0,814.0,295.0,2.45
-118.25,34.06,52.0,174.0,249.0,57.0,1.7763
-119.56,36.1,29.0,424.0,284.0,73.0,1.5313
-118.42,34.17,31.0,2235.0,914.0,370.0,6.1359
-121.99,37.82,22.0,1248.0,579.0,269.0,3.375
-121.39,39.39,52.0,189.0,121.0,37.0,3.0208
-118.3,34.09,29.0,3245.0,3906.0,1102.0,2.1927
-122.29,37.89,52.0,2269.0,1004.0,371.0,5.1696
-119.63,36.6,33.0,1589.0,1102.0,307.0,1.9676
-119.02,35.38,52.0,90.0,36.0,31.0,0.8054
-118.41,34.21,35.0,2215.0,1594.0,446.0,4.0167
-118.63,34.21,31.0,3952.0,1762.0,588.0,5.5709
-119.71,36.88,17.0,2236.0,992.0,312.0,6.9405
-118.38,34.21,42.0,715.0,730.0,158.0,3.8
-118.42,34.2,27.0,3201.0,3403.0,948.0,2.2377
-123.52,41.01,17.0,1564.0,517.0,222.0,2.1542
-119.71,36.74,18.0,8099.0,4476.0,1514.0,2.4728
-119.79,36.85,11.0,2596.0,1765.0,539.0,1.9511
-122.26,37.87,52.0,2773.0,1721.0,949.0,1.1859
-118.27,33.99,38.0,1407.0,1783.0,402.0,1.8086
-118.36,34.08,40.0,3110.0,1557.0,763.0,1.9937
-119.78,36.82,25.0,5016.0,2133.0,928.0,3.625
-118.32,34.09,32.0,563.0,626.0,185.0,2.0341
-124.16,40.79,52.0,2148.0,975.0,430.0,2.2566
-118.32,34.07,25.0,2740.0,1420.0,664.0,3.5909
-122.32,37.91,34.0,2669.0,1341.0,555.0,2.6399
-120.27,36.29,11.0,1337.0,1376.0,318.0,2.4398
-122.65,38.97,32.0,1856.0,703.0,292.0,1.1912
-121.97,37.54,28.0,2312.0,1344.0,467.0,4.7135
-119.02,35.33,26.0,3691.0,2072.0,827.0,2.1553
-122.29,37.9,52.0,1604.0,594.0,286.0,5.337999999999999
-118.33,34.04,33.0,1806.0,1161.0,393.0,2.5927
-122.18,37.76,43.0,2018.0,1111.0,367.0,1.8913
-122.19,39.53,34.0,2679.0,1287.0,505.0,2.165
-119.23,35.77,36.0,3225.0,2034.0,593.0,2.4044
-122.28,37.9,52.0,2003.0,658.0,244.0,10.0825
-121.97,37.97,27.0,1691.0,807.0,296.0,6.1168
-118.15,34.86,10.0,4597.0,2227.0,821.0,2.6149
-122.24,37.79,43.0,1626.0,1284.0,357.0,2.2542
-122.65,38.99,16.0,4279.0,1596.0,666.0,1.8571
-119.23,35.79,31.0,2862.0,2467.0,600.0,2.3125
-122.12,37.75,33.0,1809.0,808.0,219.0,6.86
-122.23,37.78,52.0,862.0,994.0,213.0,3.0257
-118.44,34.2,36.0,2698.0,1544.0,554.0,2.7375
-118.24,34.0,38.0,1715.0,1714.0,389.0,1.7132
-118.41,34.15,33.0,4032.0,1695.0,869.0,4.3468
-118.46,34.22,31.0,2057.0,2397.0,579.0,2.8710000000000004
-122.92,38.97,20.0,2067.0,904.0,333.0,2.9934
-119.85,36.82,9.0,3995.0,1691.0,712.0,3.3239
-122.24,37.76,52.0,2646.0,1128.0,522.0,3.0718
-122.08,37.97,9.0,2643.0,1105.0,467.0,6.6579
-118.19,34.11,38.0,1158.0,1051.0,322.0,2.286
-118.3,34.04,50.0,1757.0,2080.0,488.0,1.7225
-122.35,37.96,35.0,1326.0,1023.0,295.0,2.0724
-122.27,37.88,52.0,1693.0,669.0,367.0,3.5417
-119.67,36.81,4.0,1262.0,622.0,199.0,4.9432
-118.55,34.28,16.0,8879.0,3468.0,1200.0,8.1125
-118.35,34.05,33.0,2880.0,1416.0,736.0,2.6781
-122.03,37.55,26.0,3087.0,1597.0,483.0,4.9118
-120.51,36.55,20.0,1193.0,1274.0,241.0,1.9417
-122.91,39.18,43.0,89.0,86.0,27.0,2.0208
-118.29,34.1,39.0,631.0,744.0,274.0,2.7054
-118.33,34.04,52.0,2545.0,1004.0,372.0,3.6373
-118.21,34.02,43.0,1811.0,2123.0,487.0,1.3615
-120.19,38.42,11.0,1568.0,82.0,33.0,3.125
-118.44,34.22,36.0,1191.0,718.0,248.0,3.4612
-118.31,34.06,52.0,2124.0,1920.0,756.0,2.1435
-119.31,36.62,33.0,1485.0,1544.0,329.0,1.7292
-121.84,38.02,46.0,66.0,37.0,21.0,0.536
-119.03,35.45,14.0,3520.0,1748.0,582.0,4.3162
-122.03,37.83,24.0,5948.0,1997.0,710.0,9.8708
-119.79,36.73,52.0,112.0,193.0,40.0,1.975
-119.02,35.35,38.0,1472.0,670.0,282.0,2.2407
-122.12,38.0,20.0,6992.0,3221.0,1334.0,4.2042
-121.93,37.7,3.0,2456.0,793.0,456.0,4.4087
-122.34,37.95,39.0,1986.0,1041.0,385.0,3.2333
-122.29,37.81,46.0,935.0,582.0,277.0,0.7286
-122.3,37.89,46.0,1520.0,815.0,375.0,2.8036
-118.28,34.24,29.0,3390.0,1543.0,576.0,5.6184
-115.37,32.82,14.0,1276.0,867.0,261.0,1.9375
-121.86,38.0,16.0,3216.0,1504.0,453.0,5.25
-122.25,37.79,45.0,1786.0,1475.0,460.0,1.7772
-122.11,37.67,38.0,1035.0,599.0,224.0,3.0917
-119.01,35.4,11.0,8739.0,4781.0,1919.0,1.7109
-119.82,36.64,30.0,1694.0,1008.0,321.0,2.2466
-121.93,37.71,26.0,4822.0,2288.0,805.0,4.2281
-118.31,34.02,52.0,1832.0,1186.0,420.0,1.2434
-122.24,37.79,52.0,674.0,647.0,168.0,3.375
-118.38,34.07,16.0,4814.0,1897.0,1209.0,3.3725
-121.92,38.02,8.0,2750.0,1526.0,484.0,5.102
-120.02,38.91,22.0,2138.0,829.0,330.0,2.2056
-122.26,37.81,29.0,335.0,202.0,91.0,2.0062
-119.72,36.72,15.0,1713.0,766.0,232.0,6.8162
-119.55,36.61,14.0,3004.0,3535.0,735.0,1.586
-121.52,39.5,33.0,1462.0,569.0,231.0,3.2833
-118.59,34.21,26.0,2335.0,1986.0,645.0,2.9974
-118.2,34.07,34.0,1765.0,2203.0,500.0,2.2708
-122.02,37.8,11.0,6200.0,2286.0,896.0,7.6518
-118.34,34.03,46.0,2437.0,1151.0,477.0,2.4444
-118.28,34.06,52.0,1261.0,2309.0,581.0,1.6184
-118.35,34.03,42.0,2043.0,1634.0,501.0,1.9928
-121.89,39.71,26.0,2741.0,1217.0,437.0,3.7007
-118.22,34.14,52.0,2298.0,1203.0,387.0,5.5291
-122.2,37.75,36.0,606.0,531.0,133.0,1.5809
-119.28,37.11,34.0,1901.0,171.0,73.0,3.0729
-122.2,37.84,35.0,2865.0,1072.0,443.0,7.4882
-122.35,37.95,45.0,2142.0,1318.0,431.0,3.0737
-122.02,37.94,19.0,3192.0,1317.0,594.0,4.125
-118.61,34.21,33.0,2609.0,1208.0,406.0,5.4527
-122.21,38.02,15.0,2150.0,1094.0,324.0,6.0224
-122.17,37.76,38.0,1764.0,987.0,354.0,2.4333
-122.15,37.74,52.0,1394.0,545.0,230.0,3.95
-119.77,36.81,28.0,1713.0,663.0,282.0,3.567
-118.22,34.13,47.0,1585.0,949.0,366.0,2.7098
-121.89,39.76,15.0,10265.0,4591.0,1906.0,3.07
-118.42,34.25,36.0,1430.0,1502.0,312.0,3.6292
-120.69,36.84,18.0,902.0,771.0,174.0,2.2083
-118.2,34.03,41.0,1292.0,1150.0,322.0,1.925
-119.78,36.83,11.0,2754.0,1328.0,604.0,2.3667
-118.52,34.22,35.0,1275.0,959.0,226.0,5.0282
-122.04,37.63,21.0,1307.0,586.0,249.0,4.7813
-121.61,39.76,31.0,2431.0,1026.0,427.0,2.5428
-120.02,36.8,25.0,1270.0,1050.0,245.0,2.1618
-118.43,34.24,37.0,1279.0,987.0,233.0,4.0057
-118.28,34.05,41.0,1075.0,2260.0,614.0,1.3
-122.28,37.89,52.0,2616.0,1085.0,487.0,4.125
-118.47,34.27,35.0,1150.0,741.0,178.0,5.7410000000000005
-122.22,37.79,52.0,3424.0,2273.0,685.0,3.9048
-118.62,34.17,32.0,1491.0,756.0,296.0,3.0404
-119.47,35.4,32.0,2167.0,1301.0,394.0,1.9718
-118.38,34.16,42.0,2358.0,1065.0,523.0,3.1289
-118.22,34.05,41.0,1422.0,1640.0,434.0,1.6122
-121.91,37.81,7.0,3477.0,1216.0,395.0,13.1499
-122.02,37.54,31.0,1240.0,719.0,236.0,3.535
-118.3,34.0,40.0,1131.0,859.0,230.0,1.1806
-118.45,34.18,22.0,2516.0,3350.0,713.0,2.0192
